generation,n_filled,coverage_pct,qd_score,mean_fitness,max_fitness,improvements,elapsed_s
1,60,60.0,7.489,0.125,1.312,447,38.3
50,60,60.0,7.687,0.128,1.312,450,39.6
100,60,60.0,7.772,0.13,1.312,452,41.0
150,60,60.0,7.936,0.132,1.312,454,42.3
200,60,60.0,8.105,0.135,1.312,456,43.7
250,60,60.0,8.114,0.135,1.312,457,45.9
300,60,60.0,8.129,0.135,1.312,458,47.2
350,60,60.0,8.129,0.135,1.312,458,48.6
400,60,60.0,8.285,0.138,1.312,460,49.9
450,60,60.0,8.285,0.138,1.312,460,52.0
500,60,60.0,8.301,0.138,1.312,461,53.4
550,60,60.0,8.322,0.139,1.312,463,54.7
600,60,60.0,8.322,0.139,1.312,463,56.0
650,60,60.0,8.382,0.14,1.312,464,58.0
700,60,60.0,8.401,0.14,1.312,467,59.2
750,60,60.0,8.484,0.141,1.312,469,60.5
800,60,60.0,8.484,0.141,1.312,469,61.8
850,60,60.0,8.544,0.142,1.312,471,64.0
900,60,60.0,8.802,0.147,1.312,475,65.3
950,60,60.0,8.802,0.147,1.312,475,66.5
1000,60,60.0,8.87,0.148,1.312,477,67.8
1050,60,60.0,8.87,0.148,1.312,477,69.9
1100,60,60.0,8.895,0.148,1.312,478,71.2
1150,60,60.0,8.895,0.148,1.312,478,72.5
1200,60,60.0,9.302,0.155,1.312,480,73.8
1250,60,60.0,9.302,0.155,1.312,480,75.8
1300,60,60.0,9.302,0.155,1.312,480,77.1
1350,60,60.0,9.302,0.155,1.312,480,78.4
1400,60,60.0,9.312,0.155,1.312,481,79.7
1450,60,60.0,9.421,0.157,1.337,484,81.7
1500,60,60.0,9.421,0.157,1.337,484,83.0
1550,60,60.0,9.484,0.158,1.337,485,84.3
1600,60,60.0,9.573,0.16,1.337,488,85.6
1650,60,60.0,9.7,0.162,1.337,489,87.7
1700,60,60.0,9.7,0.162,1.337,489,89.0
1750,60,60.0,9.726,0.162,1.337,490,90.3
1800,60,60.0,9.726,0.162,1.337,490,91.6
1850,60,60.0,9.834,0.164,1.337,493,93.7
1900,60,60.0,10.097,0.168,1.337,496,94.9
1950,60,60.0,10.097,0.168,1.337,496,96.3
2000,60,60.0,10.099,0.168,1.337,497,97.6
2050,60,60.0,10.128,0.169,1.337,499,99.7
2100,60,60.0,10.128,0.169,1.337,499,100.9
2150,60,60.0,10.189,0.17,1.341,502,102.2
2200,60,60.0,10.189,0.17,1.341,502,103.6
2250,60,60.0,10.189,0.17,1.341,502,105.6
2300,60,60.0,10.261,0.171,1.341,503,107.0
2350,60,60.0,10.326,0.172,1.341,504,108.3
2400,60,60.0,10.336,0.172,1.341,505,109.6
2450,60,60.0,10.403,0.173,1.341,507,111.7
2500,60,60.0,10.403,0.173,1.341,507,113.0
2550,60,60.0,10.406,0.173,1.341,508,114.4
2600,60,60.0,10.406,0.173,1.341,508,115.7
2650,60,60.0,10.773,0.18,1.341,512,117.8
2700,60,60.0,10.881,0.181,1.341,513,119.2
2750,60,60.0,11.026,0.184,1.341,515,120.5
2800,60,60.0,11.24,0.187,1.341,518,121.8
2850,60,60.0,11.376,0.19,1.341,519,124.0
2900,60,60.0,11.376,0.19,1.341,519,125.3
2950,60,60.0,11.406,0.19,1.341,520,126.6
3000,60,60.0,11.427,0.19,1.341,521,127.9
3050,60,60.0,11.427,0.19,1.341,521,130.0
3100,60,60.0,11.487,0.191,1.341,522,131.4
3150,60,60.0,11.487,0.191,1.341,522,132.7
3200,60,60.0,11.594,0.193,1.341,524,134.0
3250,60,60.0,11.594,0.193,1.341,524,136.1
3300,60,60.0,11.594,0.193,1.341,524,137.4
3350,60,60.0,11.626,0.194,1.341,525,138.7
3400,60,60.0,11.626,0.194,1.341,525,140.0
3450,60,60.0,11.626,0.194,1.341,525,142.1
3500,60,60.0,11.653,0.194,1.341,527,143.4
3550,60,60.0,11.653,0.194,1.341,527,144.7
3600,60,60.0,11.653,0.194,1.341,527,146.1
3650,60,60.0,11.656,0.194,1.341,529,148.2
3700,60,60.0,11.656,0.194,1.341,529,149.6
3750,60,60.0,11.656,0.194,1.341,529,150.9
3800,60,60.0,11.664,0.194,1.341,530,152.2
3850,60,60.0,11.713,0.195,1.341,531,154.3
3900,60,60.0,11.713,0.195,1.341,531,155.7
3950,60,60.0,11.855,0.198,1.341,533,157.0
4000,60,60.0,11.874,0.198,1.341,534,158.3
4050,60,60.0,11.874,0.198,1.341,534,160.5
4100,60,60.0,11.874,0.198,1.341,534,161.8
4150,60,60.0,11.874,0.198,1.341,534,163.1
4200,60,60.0,11.874,0.198,1.341,534,164.4
4250,60,60.0,11.958,0.199,1.341,535,166.5
4300,60,60.0,11.958,0.199,1.341,535,167.8
4350,60,60.0,11.958,0.199,1.341,535,169.2
4400,60,60.0,11.958,0.199,1.341,535,170.5
4450,60,60.0,11.958,0.199,1.341,535,172.6
4500,60,60.0,11.958,0.199,1.341,535,173.9
4550,60,60.0,11.958,0.199,1.341,535,175.2
4600,60,60.0,12.014,0.2,1.341,536,176.5
4650,60,60.0,12.053,0.201,1.341,537,178.6
4700,60,60.0,12.075,0.201,1.341,538,179.9
4750,60,60.0,12.1,0.202,1.341,539,181.2
4800,60,60.0,12.217,0.204,1.341,540,182.6
4850,60,60.0,12.292,0.205,1.341,542,184.8
4900,60,60.0,12.355,0.206,1.341,543,186.2
4950,60,60.0,12.471,0.208,1.341,545,187.5
5000,60,60.0,12.496,0.208,1.341,546,188.8
